NEEDS_FIXING,PRONOUNCE,SYLLABARY
,ani:gayv̋:li.,ᎠᏂᎦᏴᎵ.
*,ani:gayv̌:líg.,ᎠᏂᎦᏴᎵg.
,ani:gayv̌:líge̋.,ᎠᏂᎦᏴᎵᎨ.
,ani:gayv̌:líge̋:ʔi.,ᎠᏂᎦᏴᎵᎨᎢ.
*,ani:ge:hyű:j.,ᎠᏂᎨᏳj.
,ani:ge:hyű:ja.,ᎠᏂᎨᏳᏣ.
,ani:gili:s,ᎠᏂᎩᎵᏍ
,ani:gili:si,ᎠᏂᎩᎵᏏ
,ani:gv̌:hnáge̋ wahya,ᎠᏂᎬᎿᎨ ᏩᏯ
,ani:gě.,ᎠᏂᎨ.
,ani:gě:hya.,ᎠᏂᎨᏯ.
,ani:gǐ:gáge̋ ji:sdu,ᎠᏂᎩᎦᎨ ᏥᏍᏚ
,ani:je̋ tǔ:ya,ᎠᏂᏤ ᏚᏯ
*,ani:ji:lv̋:sg,ᎠᏂᏥᎸᏍg
,ani:ji:lv̋:sgi.,ᎠᏂᏥᎸᏍᎩ.
,ani:jé:ʔiyű:sdi do:ya,ᎠᏂᏤᎢᏳᏍᏗ ᏙᏯ
,ani:sakǒ:níge̋ salǒ:li,ᎠᏂᏌᎪᏂᎨ ᏌᎶᎵ
*,ani:sgay.,ᎠᏂᏍᎦy.
*,ani:sgaya yǒ:na dà:nigowhtí,ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪwᏘ
*,ani:sgaya yǒ:na dà:nigowhtíha,ᎠᏂᏍᎦᏯ ᏲᎾ ᏓᏂᎪwᏘᎭ
,ani:sgaya.,ᎠᏂᏍᎦᏯ.
,ani:sgayv.,ᎠᏂᏍᎦᏴ.
*,ani:wi̋:n.,ᎠᏂᏫn.
,ani:wi̋:na.,ᎠᏂᏫᎾ.
,ani:yv:wi,ᎠᏂᏴᏫ
*,ani:yv:wi ù:hna yigè:sé:sd,ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍd
,ani:yv:wi ù:hna yigè:sé:sdi,ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍᏗ
,ani:yv:wi:ya̋,ᎠᏂᏴᏫᏯ
,ani:yv:wi:ya̋:ʔi,ᎠᏂᏴᏫᏯᎢ
,anv:hyi kaʔla.,ᎠᏅᏱ ᎧᎳ.
,asakǒ:níge̋ wě:s,ᎠᏌᎪᏂᎨ ᏪᏍ
,asakǒ:níge̋ ù:sgǒ:lv̋ ahawi ahani gè:hv̌.,ᎠᏌᎪᏂᎨ ᎤᏍᎪᎸ ᎠᎭᏫ ᎠᎭᏂ ᎨᎲ.
,asakǒ:níge̋ ù:sgǒ:lv̋ ahwi ahni gè:hv̌.,ᎠᏌᎪᏂᎨ ᎤᏍᎪᎸ ᎠᏫ ᎠᏂ ᎨᎲ.
,asakǒ:níge̋:ʔi wě:sa,ᎠᏌᎪᏂᎨᎢ ᏪᏌ
,asdǐ:gā,ᎠᏍᏗᎦ
