NEEDS_FIXING,PRONOUNCE,SYLLABARY
,gi:hli ale wě:sa,ᎩᏟ ᎠᎴ ᏪᏌ
*,gi:hli dà:gowhtí asgaya,ᎩᏟ ᏓᎪwᏘ ᎠᏍᎦᏯ
*,gi:hli dà:gowhtíha asgaya,ᎩᏟ ᏓᎪwᏘᎭ ᎠᏍᎦᏯ
,gi:hli ga:ji:ya:du:lí,ᎩᏟ ᎦᏥᏯᏚᎵ
,gi:hli ga:ji:ya:du:líha,ᎩᏟ ᎦᏥᏯᏚᎵᎭ
,gi:hli hla yidù:wa:ká.,ᎩᏟ Ꮭ ᏱᏚᏩᎧ.
,gi:hli hla yù:wa:káha.,ᎩᏟ Ꮭ ᏳᏩᎧᎭ.
*,gi:hli ji:gowhtí,ᎩᏟ ᏥᎪwᏘ
*,gi:hli ji:gowhtíha,ᎩᏟ ᏥᎪwᏘᎭ
,gi:hli ù:wa:ká,ᎩᏟ ᎤᏩᎧ
,gi:hli ù:wa:ká.,ᎩᏟ ᎤᏩᎧ.
,gi:hli ù:wa:káha,ᎩᏟ ᎤᏩᎧᎭ
,gi:hli ù:wa:káha.,ᎩᏟ ᎤᏩᎧᎭ.
,gi:hli.,ᎩᏟ.
,gi:hlis?,ᎩᏟᏍ?
,gi:hlisgo?,ᎩᏟᏍᎪ?
,gili:s,ᎩᎵᏍ
,gili:si,ᎩᎵᏏ
,gina:di:tasdi,ᎩᎾᏗᏔᏍᏗ
,gina:liʔi,ᎩᎾᎵᎢ
,ginada:do:hlísdi,ᎩᎾᏓᏙᏟᏍᏗ
,ginada:dohljv̌,ᎩᎾᏓᏙꮅᏨ
,ginada:dohljv̌:ʔi,ᎩᎾᏓᏙꮅᏨᎢ
,ginada:go:hv̌,ᎩᎾᏓᎪᎲ
,ginada:go:hv̌:ʔi,ᎩᎾᏓᎪᎲᎢ
*,ginada:gowhtv́hdi,ᎩᎾᏓᎪwᏛᏗ
,ginadadu:líha,ᎩᎾᏓᏚᎵᎭ
,ginadadǔ:la,ᎩᎾᏓᏚᎳ
,ginadv:hnv̌,ᎩᎾᏛᏅ
,ginadv:hnv̌:ʔi,ᎩᎾᏛᏅᎢ
*,ginatdi,ᎩᎾtᏗ
,gine:nv̀:sdi,ᎩᏁᏅᏍᏗ
,gine:nv́:sv̌,ᎩᏁᏅᏒ
,gine:nv́:sv̌:ʔi,ᎩᏁᏅᏒᎢ
,gini:do:da,ᎩᏂᏙᏓ
,gini:go:hv̌,ᎩᏂᎪᎲ
,gini:go:hv̌:ʔi,ᎩᏂᎪᎲᎢ
*,gini:gowhtv́hdi,ᎩᏂᎪwᏛᏗ
,gini:ha,ᎩᏂᎭ
,gini:hv̌,ᎩᏂᎲ
,gini:hv̌:ʔi,ᎩᏂᎲᎢ
,gini:hé:sdi,ᎩᏂᎮᏍᏗ
,gini:hó,ᎩᏂᎰ
,gini:hó:ʔi,ᎩᏂᎰᎢ
,gini:ji,ᎩᏂᏥ
,gini:kahv̌,ᎩᏂᎧᎲ
,gini:kahv̌:ʔi,ᎩᏂᎧᎲᎢ
,gini:kahó,ᎩᏂᎧᎰ
,gini:kahó:ʔi,ᎩᏂᎧᎰᎢ
,gini:káha,ᎩᏂᎧᎭ
,gini:lv̀:sdi,ᎩᏂᎸᏍᏗ
,gini:lv̂:sv̌,ᎩᏂᎸᏒ
,gini:lv̂:sv̌:ʔi,ᎩᏂᎸᏒᎢ
,gini:ne:hé:sdi,ᎩᏂᏁᎮᏍᏗ
,gini:náv̌,ᎩᏂᎾᎥ
,gini:náv̌:ʔi,ᎩᏂᎾᎥᎢ
,gini:náó,ᎩᏂᎾᎣ
,gini:náó:ʔi,ᎩᏂᎾᎣᎢ
,gini:sdǐ:gî:sdi,ᎩᏂᏍᏗᎩᏍᏗ
,gino:hlísdi,ᎩᏃᏟᏍᏗ
,ginohljv̌,ᎩᏃꮅᏨ
,ginohljv̌:ʔi,ᎩᏃꮅᏨᎢ
,ginv̋:sa,ᎩᏅᏌ
,ginv̌:sa,ᎩᏅᏌ
,ginì:hlǐ:sóhdi,ᎩᏂᏟᏐᏗ
,ginì:sdí:gv̌,ᎩᏂᏍᏗᎬ
,ginì:sdí:gv̌:ʔi,ᎩᏂᏍᏗᎬᎢ
,ginù:di:tahv̌,ᎩᏄᏗᏔᎲ
,ginù:di:tahv̌:ʔi,ᎩᏄᏗᏔᎲᎢ
*,go:g.,Ꭺg.
,go:gadu:líha,ᎪᎦᏚᎵᎭ
,go:gadǔ:lā,ᎪᎦᏚᎳ
,go:gi u:gǎ:nowa.,ᎪᎩ ᎤᎦᏃᏩ.
,go:gi ǔ:hyv́:dla dà:gwadó:ʔa.,ᎪᎩ ᎤᏴᏜ ᏓᏆᏙᎠ.
,go:gi ǔ:hyv́:dla dà:wadó:ʔa.,ᎪᎩ ᎤᏴᏜ ᏓᏩᏙᎠ.
,go:gi.,ᎪᎩ.
,go:gi:go:hv̌,ᎪᎩᎪᎲ
,go:gi:go:hv̌:ʔi,ᎪᎩᎪᎲᎢ
,go:gi:gò:wahtā,ᎪᎩᎪᏩᏔ
,go:ginadu:líha,ᎪᎩᎾᏚᎵᎭ
,go:ginadǔ:lā,ᎪᎩᎾᏚᎳ
,go:gini:go:hv̌,ᎪᎩᏂᎪᎲ
,go:gini:go:hv̌:ʔi,ᎪᎩᏂᎪᎲᎢ
,go:gini:gò:wahtā,ᎪᎩᏂᎪᏩᏔ
,go:gino:hlísdi,ᎪᎩᏃᏟᏍᏗ
,go:ginohlgó,ᎪᎩᏃꮅᎪ
,go:ginohlgó:ʔi,ᎪᎩᏃꮅᎪᎢ
,go:go:hlísdi,ᎪᎪᏟᏍᏗ
,go:gohlgó,ᎪᎪꮅᎪ
,go:gohlgó:ʔi,ᎪᎪꮅᎪᎢ
,go:hi̋.,ᎪᎯ.
,go:hi̋:gi.,ᎪᎯᎩ.
,go:hlv:hnv̋ u:du:lí.,ᎪᏢᏅ ᎤᏚᎵ.
,go:hlv:hnv̋.,ᎪᏢᏅ.
,go:hlv:hnv̋:ʔi u:du:líha.,ᎪᏢᏅᎢ ᎤᏚᎵᎭ.
,go:hlv:hnv̋:ʔi u:du:líʔa.,ᎪᏢᏅᎢ ᎤᏚᎵᎠ.
,go:hlv:hnv̋:ʔi.,ᎪᏢᏅᎢ.
*,go:hű:sd ő:sd jigowhtí,ᎪᎱᏍd ᎣᏍd ᏥᎪwᏘ
*,go:hű:sdi ő:sda jigowhtíha,ᎪᎱᏍᏗ ᎣᏍᏓ ᏥᎪwᏘᎭ
*,go:hwe:l jigowhtí,ᎪᏪꮅ ᏥᎪwᏘ
,go:hwe:l.,ᎪᏪꮅ.
,go:hwe:la desgi:nv̀.,ᎪᏪᎳ ᏕᏍᎩᏅ.
,go:hwe:la desgi:nv̀:si.,ᎪᏪᎳ ᏕᏍᎩᏅᏏ.
,go:hwe:la digahi:nv̀.,ᎪᏪᎳ ᏗᎦᎯᏅ.
,go:hwe:la digahi:nv̀:si.,ᎪᏪᎳ ᏗᎦᎯᏅᏏ.
,go:hwe:la hi:nv̀.,ᎪᏪᎳ ᎯᏅ.
,go:hwe:la hi:nv̀:si.,ᎪᏪᎳ ᎯᏅᏏ.
,go:hwe:la à:giná.,ᎪᏪᎳ ᎠᎩᎾ.
,go:hwe:la.,ᎪᏪᎳ.
,go:hwe:li desgi:nv̀.,ᎪᏪᎵ ᏕᏍᎩᏅ.
,go:hwe:li desgi:nv̀:si.,ᎪᏪᎵ ᏕᏍᎩᏅᏏ.
,go:hwe:li digahi:nv̀.,ᎪᏪᎵ ᏗᎦᎯᏅ.
,go:hwe:li digahi:nv̀:si.,ᎪᏪᎵ ᏗᎦᎯᏅᏏ.
,go:hwe:li hi:nv̀.,ᎪᏪᎵ ᎯᏅ.
,go:hwe:li hi:nv̀:si.,ᎪᏪᎵ ᎯᏅᏏ.
*,go:hwe:li jigowhtíha,ᎪᏪᎵ ᏥᎪwᏘᎭ
,go:hwe:li à:gináʔa.,ᎪᏪᎵ ᎠᎩᎾᎠ.
,"go:hwe:li ù:du:líha ma:ga, à:díʔa.","ᎪᏪᎵ ᎤᏚᎵᎭ ᎹᎦ, ᎠᏗᎠ."
,go:hwe:li.,ᎪᏪᎵ.
,go:hwe:lv̋.,ᎪᏪᎸ.
,go:hwě:l diganè:sdí.,ᎪᏪꮅ ᏗᎦᏁᏍᏗ.
,go:hwě:li diganè:sdíʔi.,ᎪᏪᎵ ᏗᎦᏁᏍᏗᎢ.
,go:hí i:ga.,ᎪᎯ ᎢᎦ.
,go:hí.,ᎪᎯ.
*,go:hű:sd,ᎪᎱᏍd
*,go:hű:sd dù:na:du:lí,ᎪᎱᏍd ᏚᎾᏚᎵ
*,go:hű:sd ù:na:du:lí,ᎪᎱᏍd ᎤᎾᏚᎵ
,go:hű:sdi,ᎪᎱᏍᏗ
,go:hű:sdi dù:na:du:líha,ᎪᎱᏍᏗ ᏚᎾᏚᎵᎭ
,go:hű:sdi ù:na:du:líha,ᎪᎱᏍᏗ ᎤᎾᏚᎵᎭ
,go:jadu:líha,ᎪᏣᏚᎵᎭ
,go:jadǔ:lā,ᎪᏣᏚᎳ
,go:jagà:tǒ:sdóhdi,ᎪᏣᎦᏙᏍᏙᏗ
,go:jagà:tǒ:sdā,ᎪᏣᎦᏙᏍᏓ
,go:ji:go:hv̌,ᎪᏥᎪᎲ
,go:ji:go:hv̌:ʔi,ᎪᏥᎪᎲᎢ
,go:ji:gò:wahtā,ᎪᏥᎪᏩᏔ
,go:jo:li:jv̌,ᎪᏦᎵᏨ
,go:jo:li:jv̌:ʔi,ᎪᏦᎵᏨᎢ
,go:jo:lí:sdi,ᎪᏦᎵᏍᏗ
,go:li:gó,ᎪᎵᎪ
,go:li:gó:ʔi,ᎪᎵᎪᎢ
,go:lì:ga,ᎪᎵᎦ
,go:lì:ga ahu:li.,ᎪᎵᎦ ᎠᎱᎵ.
,go:lì:ga.,ᎪᎵᎦ.
,go:lì:ga. nihinahv?,ᎪᎵᎦ. ᏂᎯᎾᎲ?
,go:sdadu:líha,ᎪᏍᏓᏚᎵᎭ
,go:sdadǔ:lā,ᎪᏍᏓᏚᎳ
,go:sdagà:tǒ:sdóhdi,ᎪᏍᏓᎦᏙᏍᏙᏗ
,go:sdagà:tǒ:sdā,ᎪᏍᏓᎦᏙᏍᏓ
,go:sdi:go:hv̌,ᎪᏍᏗᎪᎲ
,go:sdi:go:hv̌:ʔi,ᎪᏍᏗᎪᎲᎢ
,go:sdi:gò:wahtā,ᎪᏍᏗᎪᏩᏔ
,go:sdo:li:jv̌,ᎪᏍᏙᎵᏨ
,go:sdo:li:jv̌:ʔi,ᎪᏍᏙᎵᏨᎢ
,go:sdo:lí:sdi,ᎪᏍᏙᎵᏍᏗ
,gohlga,ᎪꮅᎦ
,gohlga.,ᎪꮅᎦ.
,gohlgā,ᎪꮅᎦ
,goʔi.,ᎪᎢ.
,gu:le de:jaha,ᎫᎴ ᏕᏣᎭ
,gu:le de:jaha.,ᎫᎴ ᏕᏣᎭ.
*,gu:le de:jigowhtí,ᎫᎴ ᏕᏥᎪwᏘ
*,gu:le de:jigowhtíha,ᎫᎴ ᏕᏥᎪwᏘᎭ
,gu:le hla yidi:jaha.,ᎫᎴ Ꮭ ᏱᏗᏣᎭ.
,gu:le ǔ:ha,ᎫᎴ ᎤᎭ
,gu:le ǔ:ha.,ᎫᎴ ᎤᎭ.
*,guːle dǐːso àgwanht.,ᎫᎴ ᏗᏐ ᎠᏆnt.
*,guːle dǐːsoʔi àgwanhta.,ᎫᎴ ᏗᏐᎢ ᎠᏆnᏔ.
,gv:do:da,ᎬᏙᏓ
,gv:gigo:hv̌,ᎬᎩᎪᎲ
,gv:gigo:hv̌:ʔi,ᎬᎩᎪᎲᎢ
*,gv:gigowhtí na wahya.,ᎬᎩᎪwᏘ Ꮎ ᏩᏯ.
*,gv:gigowhtíha,ᎬᎩᎪwᏘᎭ
*,gv:gigowhtíha na wahaya.,ᎬᎩᎪwᏘᎭ Ꮎ ᏩᎭᏯ.
*,gv:gowhtv́hdi,ᎬᎪwᏛᏗ
*,gv:gowhtíha,ᎬᎪwᏘᎭ
,gv:gwadu:líha,ᎬᏆᏚᎵᎭ
,gv:gwadǔ:lā,ᎬᏆᏚᎳ
,gv:gwo:hlísdi,ᎬᏉᏟᏍᏗ
,gv:gwohlga,ᎬᏉꮅᎦ
,gv:he.,ᎬᎮ.
,gv:ji,ᎬᏥ
,gv:no:sásdi desgi:dì:si.,ᎬᏃᏌᏍᏗ ᏕᏍᎩᏗᏏ.
,gv:no:sásdi gahi:dì:si.,ᎬᏃᏌᏍᏗ ᎦᎯᏗᏏ.
,gv:no:sásdi hi:dì:si lu:ga.,ᎬᏃᏌᏍᏗ ᎯᏗᏏ ᎷᎦ.
,gv:no:sásdi hi:dì:si.,ᎬᏃᏌᏍᏗ ᎯᏗᏏ.
,gv:no:sásdi lu:ga hi:dì:si.,ᎬᏃᏌᏍᏗ ᎷᎦ ᎯᏗᏏ.
,gv:yadu:lv:hv̌,ᎬᏯᏚᎸᎲ
,gv:yadu:lv:hv̌:ʔi,ᎬᏯᏚᎸᎲᎢ
,gv:yadu:líha,ᎬᏯᏚᎵᎭ
,gv:yagà:tǒ:sdi,ᎬᏯᎦᏙᏍᏗ
,gv:yagà:tǒ:sdóhdi,ᎬᏯᎦᏙᏍᏙᏗ
,gv:yo:li:jv̌,ᎬᏲᎵᏨ
,gv:yo:li:jv̌:ʔi,ᎬᏲᎵᏨᎢ
,gv:yo:lí:sdi,ᎬᏲᎵᏍᏗ
*,gv́:n,Ꭼn
*,gv́:n desgv̀.,Ꭼn ᏕᏍᎬ.
*,gv́:n dè:skv̀.,Ꭼn ᏕᏍᎬ.
*,gv́:n gahiʔv̀.,Ꭼn ᎦᎯᎥ.
*,gv́:n hiʔv̀.,Ꭼn ᎯᎥ.
*,gv́:n à:gwadu:lí.,Ꭼn ᎠᏆᏚᎵ.
*,gv́:n à:wadu:lí.,Ꭼn ᎠᏩᏚᎵ.
*,gv́:n.,Ꭼn.
,gv́:na desgv̀:si.,ᎬᎾ ᏕᏍᎬᏏ.
,gv́:na desgì:kà:si.,ᎬᎾ ᏕᏍᎩᎧᏏ.
,gv́:na dè:skv̀:si.,ᎬᎾ ᏕᏍᎬᏏ.
,gv́:na gahiʔv̀:si.,ᎬᎾ ᎦᎯᎥᏏ.
,gv́:na hiʔv̀:si.,ᎬᎾ ᎯᎥᏏ.
,gv́:na à:gwadu:líʔa.,ᎬᎾ ᎠᏆᏚᎵᎠ.
,gv́:na à:wadu:líʔa.,ᎬᎾ ᎠᏩᏚᎵᎠ.
,gv́:na.,ᎬᎾ.
*,gv̌:hnáge̋ sadv́:d,ᎬᎿᎨ ᏌᏛd
,gv̌:hnáge̋ʔi sadv́:di,ᎬᎿᎨᎢ ᏌᏛᏗ
*,gv̌:níge̋ sadv́:d,ᎬᏂᎨ ᏌᏛd
,gv̌:níge̋:ʔi sadv́:di,ᎬᏂᎨᎢ ᏌᏛᏗ
,gwa:gwa ji:ya:du:lí,ᏆᏆ ᏥᏯᏚᎵ
,gwa:gwaʔa ji:ya:du:líha,ᏆᏆᎠ ᏥᏯᏚᎵᎭ
*,gwag.,Ꮖg.
,"gwagwu, wado. donada:go:hv:ʔi.","ᏆᏊ, ᏩᏙ. ᏙᎾᏓᎪᎲᎢ."
,gwagwu.,ᏆᏊ.
*,gwen.,Ꮗn.
,gweni.,ᏇᏂ.
,gweti dà:gwadó:ʔa.,ᏇᏘ ᏓᏆᏙᎠ.
,gweti dà:wadó.,ᏇᏘ ᏓᏩᏙ.
,gweti dà:wadó:ʔa.,ᏇᏘ ᏓᏩᏙᎠ.
,gà:di:tásga,ᎦᏗᏔᏍᎦ
,gá:gō é:ga go:hí i:ga?,ᎦᎪ ᎡᎦ ᎪᎯ ᎢᎦ?
,gá:gō?,ᎦᎪ?
,gá:gō? dō dù:dó?,ᎦᎪ? Ꮩ ᏚᏙ?
,gá:gō? gadō dù:dó:ʔa?,ᎦᎪ? ᎦᏙ ᏚᏙᎠ?
,gá:gō? gadō dù:dó?,ᎦᎪ? ᎦᏙ ᏚᏙ?
,gálè:ga,ᎦᎴᎦ
,gálè:gó,ᎦᎴᎪ
,gálè:gó:ʔi,ᎦᎴᎪᎢ
,gâ:gí?,ᎦᎩ?
,gè:hv̋,ᎨᎲ
,gè:hv̋:ʔi,ᎨᎲᎢ
,gè:hv̌,ᎨᎲ
,gè:hv̌:gi,ᎨᎲᎩ
,gè:hv̌:ʔi,ᎨᎲᎢ
,gè:hé,ᎨᎮ
,gè:hé:ʔi,ᎨᎮᎢ
,gè:nā,ᎨᎾ
,gè:sv̋,ᎨᏒ
,gè:sv̋:ʔi,ᎨᏒᎢ
,gè:sv̌,ᎨᏒ
*,gè:sv̌:g,ᎨᏒg
,gè:sv̌:gi,ᎨᏒᎩ
,gè:sv̌:ʔi,ᎨᏒᎢ
,gè:sé,ᎨᏎ
*,gè:sé:sd,ᎨᏎᏍd
,gè:sé:sdi,ᎨᏎᏍᏗ
,gè:sé:ʔi,ᎨᏎᎢ
,gè:só,ᎨᏐ
,gè:só:ʔi,ᎨᏐᎢ
,gé.,Ꭸ.
,gé:ga,ᎨᎦ
,gé:ga.,ᎨᎦ.
,gé:ga. nihinahv?,ᎨᎦ. ᏂᎯᎾᎲ?
,gé:jadu:líha,ᎨᏣᏚᎵᎭ
,gé:jadǔ:lā,ᎨᏣᏚᎳ
,gé:jagà:tǒ:sdóhdi,ᎨᏣᎦᏙᏍᏙᏗ
,gé:jagà:tǒ:sdā,ᎨᏣᎦᏙᏍᏓ
,gé:ji:go:hv̌,ᎨᏥᎪᎲ
,gé:ji:go:hv̌:ʔi,ᎨᏥᎪᎲᎢ
,gé:ji:gò:wahtā,ᎨᏥᎪᏩᏔ
,gé:jo:li:jv̌,ᎨᏦᎵᏨ
,gé:jo:li:jv̌:ʔi,ᎨᏦᎵᏨᎢ
,gé:jo:lí:sdi,ᎨᏦᎵᏍᏗ
,gé:jà:gà:tǒ:stánv̌,ᎨᏣᎦᏙᏍᏔᏅ
,gé:jà:gà:tǒ:stánv̌:ʔi,ᎨᏣᎦᏙᏍᏔᏅᎢ
,géʔi gù:gu.,ᎨᎢ ᎫᎫ.
,géʔi.,ᎨᎢ.
,gù:gu géʔi.,ᎫᎫ ᎨᎢ.
,gù:gu ǔ:ha.,ᎫᎫ ᎤᎭ.
,gù:gu à:nihneha lu:ga,ᎫᎫ ᎠᏂᏁᎭ ᎷᎦ
,gù:gu ù:néha.,ᎫᎫ ᎤᏁᎭ.
,gù:gu ù:néʔa.,ᎫᎫ ᎤᏁᎠ.
,gù:gu.,ᎫᎫ.
*,gùːgu dalǒːníge̋ ùːsgǒːlv̋ ùnhta.,ᎫᎫ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᎤnᏔ.
,gő:l.,Ꭺꮅ.
,gő:la jǔ:hyv́:dlv ù:hyv:dla.,ᎪᎳ ᏧᏴᏢ ᎤᏴᏜ.
,gő:la.,ᎪᎳ.
,gő:li.,ᎪᎵ.
*,gő:sd,ᎪᏍd
*,gő:sd ő:sd jigowhtí,ᎪᏍd ᎣᏍd ᏥᎪwᏘ
,gő:sdi,ᎪᏍᏗ
,gő:sdi dù:na:du:lí,ᎪᏍᏗ ᏚᎾᏚᎵ
,gő:sdi ù:na:du:lí,ᎪᏍᏗ ᎤᎾᏚᎵ
*,gő:sdi ő:sda jigowhtíha,ᎪᏍᏗ ᎣᏍᏓ ᏥᎪwᏘᎭ
,gǐ.,Ꭹ.
,gǐ:ga gù:gu desgi:nehv̀:si.,ᎩᎦ ᎫᎫ ᏕᏍᎩᏁᎲᏏ.
,gǐ:ga.,ᎩᎦ.
,gǐ:ge u:galǒ:ga ù:náʔa.,ᎩᎨ ᎤᎦᎶᎦ ᎤᎾᎠ.
,gǐ:ge̋ gu:le,ᎩᎨ ᎫᎴ
,gǐ:ge̋:ʔi gu:le,ᎩᎨᎢ ᎫᎴ
,gǐ:gáge u:galǒ:ga ù:náʔa.,ᎩᎦᎨ ᎤᎦᎶᎦ ᎤᎾᎠ.
,gǐ:gáge̋ gu:le,ᎩᎦᎨ ᎫᎴ
,gǐ:gáge̋:ʔi gu:le,ᎩᎦᎨᎢ ᎫᎴ
,gǐ:gáge̋:ʔi ù:sgǒ:lv̋ gu:le,ᎩᎦᎨᎢ ᎤᏍᎪᎸ ᎫᎴ
,gǐ:gáge̋:ʔi ù:sgǒ:lv̋:ʔi gu:le,ᎩᎦᎨᎢ ᎤᏍᎪᎸᎢ ᎫᎴ
,ha:dlv go:hwě:l dijanè:sdi?,ᎭᏢ ᎪᏪꮅ ᏗᏣᏁᏍᏗ?
,ha:dlv go:hwě:la dijanè:sdi?,ᎭᏢ ᎪᏪᎳ ᏗᏣᏁᏍᏗ?
,ha:dlv go:hwě:li dijanè:sdi?,ᎭᏢ ᎪᏪᎵ ᏗᏣᏁᏍᏗ?
,ha:dlv hině:l?,ᎭᏢ ᎯᏁꮅ?
,ha:dlv hině:la?,ᎭᏢ ᎯᏁᎳ?
*,ha:dlv na a:nijo yǒ:n?,ᎭᏢ Ꮎ ᎠᏂᏦ Ᏺn?
,ha:dlv na a:nijoʔi yǒ:na?,ᎭᏢ Ꮎ ᎠᏂᏦᎢ ᏲᎾ?
,ha:dlv na dluhgv̋:ʔi?,ᎭᏢ Ꮎ ᏡᎬᎢ?
,ha:dlv na dluhgv̋?,ᎭᏢ Ꮎ ᏡᎬ?
,ha:dlv na dě:dluhgv̋:ʔi?,ᎭᏢ Ꮎ ᏕᏡᎬᎢ?
,ha:dlv na dě:dluhgv̋?,ᎭᏢ Ꮎ ᏕᏡᎬ?
,ha:dlv na dě:hlgv̋:ʔi,ᎭᏢ Ꮎ ᏕꮅᎬᎢ
,ha:dlv na dě:hluʔgv̋:ʔi?,ᎭᏢ Ꮎ ᏕᏡᎬᎢ?
,ha:dlv na dě:hluʔgv̋?,ᎭᏢ Ꮎ ᏕᏡᎬ?
,ha:dlv na dě:hlʔgv̋:ʔi?,ᎭᏢ Ꮎ ᏕꮅᎬᎢ?
,ha:dlv na dě:hlʔgv̋?,ᎭᏢ Ꮎ ᏕꮅᎬ?
,ha:dlv na hlgv̋:ʔi,ᎭᏢ Ꮎ ꮅᎬᎢ
,ha:dlv na hluʔgv̋:ʔi?,ᎭᏢ Ꮎ ᏡᎬᎢ?
,ha:dlv na hluʔgv̋?,ᎭᏢ Ꮎ ᏡᎬ?
,ha:dlv na hlʔgv̋:ʔi?,ᎭᏢ Ꮎ ꮅᎬᎢ?
,ha:dlv na hlʔgv̋?,ᎭᏢ Ꮎ ꮅᎬ?
,ha:dlv nihi?,ᎭᏢ ᏂᎯ?
,ha:dlv nà:sgi,ᎭᏢ ᎾᏍᎩ
,ha:dlv sdině:l?,ᎭᏢ ᏍᏗᏁꮅ?
,ha:dlv sdině:la?,ᎭᏢ ᏍᏗᏁᎳ?
,ha:dlv sgina,ᎭᏢ ᏍᎩᎾ
,ha:dlv v̀:sgi,ᎭᏢ ᎥᏍᎩ
,ha:dlv v̀:sgina,ᎭᏢ ᎥᏍᎩᎾ
,ha:dlv yv:wi?,ᎭᏢ ᏴᏫ?
,ha:dlv à:nő:sda yv:wi,ᎭᏢ ᎠᏃᏍᏓ ᏴᏫ
,ha:dlv ì:jině:l?,ᎭᏢ ᎢᏥᏁꮅ?
,ha:dlv ì:jině:la?,ᎭᏢ ᎢᏥᏁᎳ?
,ha:dlv?,ᎭᏢ?
,ha:dǐ:ta,ᎭᏗᏔ
,ha:dǐ:tā,ᎭᏗᏔ
,hada,ᎭᏓ
,hada:dohlga,ᎭᏓᏙꮅᎦ
,hada:dohlgó,ᎭᏓᏙꮅᎪ
,hada:dohlgó:ʔi,ᎭᏓᏙꮅᎪᎢ
*,hada:gowhtíha,ᎭᏓᎪwᏘᎭ
,hada:gò:wahta,ᎭᏓᎪᏩᏔ
*,hadaktǒ:sda,ᎭᏓkᏙᏍᏓ
,hadiha,ᎭᏗᎭ
*,hadà:ktǒ:sdi,ᎭᏓkᏙᏍᏗ
*,hadà:ktǒ:sdí:sgó,ᎭᏓkᏙᏍᏗᏍᎪ
*,hadà:ktǒ:sdí:sgó:ʔi,ᎭᏓkᏙᏍᏗᏍᎪᎢ
,hadí:ʔa joʔi.,ᎭᏗᎠ ᏦᎢ.
,hadíha.,ᎭᏗᎭ.
,hadíʔa.,ᎭᏗᎠ.
,hadǐ:sgó,ᎭᏗᏍᎪ
,hadǐ:sgó:ʔi,ᎭᏗᏍᎪᎢ
,hala̋ dodajahwasi di:dǎ:hnehdi?,ᎭᎳ ᏙᏓᏣᏩᏏ ᏗᏓᏁᏗ?
,halihě:lî.,ᎭᎵᎮᎵ.
,halihě:lî:ga.,ᎭᎵᎮᎵᎦ.
,halsdâ:yv:hv́.,ᎭꮅᏍᏓᏴᎲ.
,halsdâ:yv:hv́sga.,ᎭꮅᏍᏓᏴᎲᏍᎦ.
,hawi:ya dè:skv̀:si.,ᎭᏫᏯ ᏕᏍᎬᏏ.
,hawi:ya.,ᎭᏫᏯ.
,hi:do:da,ᎯᏙᏓ
,hi:dì:si astayostohdi.,ᎯᏗᏏ ᎠᏍᏔᏲᏍᏙᏗ.
*,hi:gowhtíha,ᎯᎪwᏘᎭ
*,hi:gowhtǐ:sgó,ᎯᎪwᏘᏍᎪ
*,hi:gowhtǐ:sgóʔi,ᎯᎪwᏘᏍᎪᎢ
,hi:ji,ᎯᏥ
,hi:ya:du:líhas?,ᎯᏯᏚᎵᎭᏍ?
,hi:ya:du:líhasgo?,ᎯᏯᏚᎵᎭᏍᎪ?
,hi:ya:du:lís?,ᎯᏯᏚᎵᏍ?
,hi:ya:du:lísgo?,ᎯᏯᏚᎵᏍᎪ?
,hi:yadu:lǐ:sgó,ᎯᏯᏚᎵᏍᎪ
,hi:yadu:lǐ:sgóʔi,ᎯᏯᏚᎵᏍᎪᎢ
,hi:yadǔ:la,ᎯᏯᏚᎳ
,hi:yagà:tǒ:sda,ᎯᏯᎦᏙᏍᏓ
,hi:yagà:tǒ:sdóhdi,ᎯᏯᎦᏙᏍᏙᏗ
,hi:yo:lì:ga.,ᎯᏲᎵᎦ.
,hi:yo:lì:gi,ᎯᏲᎵᎩ
,hi:yo:lí:sdi,ᎯᏲᎵᏍᏗ
,hi:yà:gà:tǒ:stánv̌,ᎯᏯᎦᏙᏍᏔᏅ
,hi:yà:gà:tǒ:stánv̌:ʔi,ᎯᏯᎦᏙᏍᏔᏅᎢ
*,higowhtíha,ᎯᎪwᏘᎭ
*,higowhtǐ:sgó,ᎯᎪwᏘᏍᎪ
*,higowhtǐ:sgóʔi,ᎯᎪwᏘᏍᎪᎢ
*,hiksgǒ:hi,ᎯkᏍᎪᎯ
,hila̋ dodajahwasi di:dǎ:hnehdi?,ᎯᎳ ᏙᏓᏣᏩᏏ ᏗᏓᏁᏗ?
,hila̋ gi:hli?,ᎯᎳ ᎩᏟ?
,hila̋ iyv̋:ʔi?,ᎯᎳ ᎢᏴᎢ?
,hila̋ iyv̋?,ᎯᎳ ᎢᏴ?
,hila̋ iyáni gi:hli?,ᎯᎳ ᎢᏯᏂ ᎩᏟ?
,hila̋ nǔ:na?,ᎯᎳ ᏄᎾ?
,hila̋ ǐ:ga̋ nǔ:na?,ᎯᎳ ᎢᎦ ᏄᎾ?
,hilâ:yv̋:ʔi?,ᎯᎳᏴᎢ?
,hilâ:yv̋?,ᎯᎳᏴ?
,hilù:ga,ᎯᎷᎦ
,hilù:gā,ᎯᎷᎦ
,hisdǐ:ga,ᎯᏍᏗᎦ
