ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
185|||Ꮪ¹Ꮒ²-|Ꭽ||ᏚᏂᎭ|dù:ni:ha|They have things|||duu1nii2ha
186|||Ꮶ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏫᏦᏍᏓᏓᎪᏩᏔ|wijò:sdada:gò:wahta|Let him and me see each other|||wi2joo1sda2daa2goo1wah2ta
187||ge:jo:lì|Ꭸ²Ꮵ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏦᎵᎦ|ge:jo:lì:ga|You all recognize them (animate)|||gee2joo2lii1ga
188||dé:gada:go:hv̌|Ꮥ³Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᎦᏓᎪᎲᎢ|dé:gada:go:hv̌:ɂi|All of us saw each other a while ago|||dee3ga2daa2goo2hvv23-i
189|||Ꭹ̣²Ꮒ²-|Ꭽ||ᎩᏂᎭ|gini:ha|You and I have something|||gi2nii2ha
190||dé:jada:go:hv̌|Ꮥ³Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᏣᏓᎪᎲᎢ|dé:jada:go:hv̌:ɂi|You all saw each other a while ago|||dee3ja2daa2goo2hvv23-i
191|||Ꭳ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎣᏍᏓᏓᎪᏩᏔ|ò:sdada:gò:wahtā|He and I recently saw ourselves|||oo1sda2daa2goo1wah2ta2
192|||Ꮥ²ᏍᏗ²-|Ꭽ||ᏕᏍᏗᎭ|de:sdi:ha|You both have things|||dee2sdii2ha
193||dò:gada:go:hv̌|Ꮩ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏙᎦᏓᎪᎲᎢ|dò:gada:go:hv̌:ɂi|They and I saw each other a while ago|||doo1ga2daa2goo2hvv23-i
194|||Ꭳ¹Ꭹ̣²Ꮒ²-|Ꭽ||ᎣᎩᏂᎭ|ò:gini:ha|He and I have something|||oo1gi2nii2ha
