,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
note,"ᏥᏌ ᎤᎷᏨᎩ <u>ᎤᎩᏒᎩ</u> ᎦᏚ ᎠᎴ ᏚᏁᎸᎩ, ᎠᎴ ᎾᏍᏉ ᎠᏣᏗ ᏚᏅᏁᎸᎩ.
Jesus, therefore, doth come and <u>take</u> the bread and give to them, and the fish in like manner;
[ᏣᏂ 21:13]",,,,,
,,,,,,
ENTRY,ᎠᎩᎠ,agiʔa,vt,He is eating it (something solid).,,
,ᏥᎩᎠ,jigiʔa,,,,
,ᎤᎬᎢ,u:gʔv̌ʔi,,,,
,ᎠᎩᏍᎪᎢ,agi:sgóʔi,,,,
,ᎯᎦ,higa,,,,
,ᎤᎩᏍᏗ,u:gi:sdi,,,,
note,"ᎾᏍᎩᏂ ᎤᏓᏔᏅᎯ ᏥᏡᎦ ᎠᎦᏙᎥᎯᏍᏗ ᎣᏍᏛ ᎨᏒᎢ ᎠᎴ ᎤᏲ ᎨᏒᎢ, ᎥᏝ <u>ᏣᎩᏍᏗ</u> ᏱᎨᏎᏍᏗ, ᎾᎯᏳᏰᏃ ᎢᎦ ᎯᎬᎭ ᎤᏙᎯᏳᏒ ᏣᏲᎱᎯᏍᏗ ᎨᏎᏍᏗ.
and of the tree of knowledge of good and evil, thou dost not <u>eat</u> of it, for in the day of thine eating of it -- dying thou dost die.'
[ᎼᏏ ᎢᎬᏱᏱ 2:17]",,,,,
,,,,,,
ENTRY,ᎠᎩᎡᎭ,agiʔe:ha,vt,He is taking it (something solid) from him.,,
,ᏥᎩᎡᎠ,ji:giʔeʔa,,,,
,ᎤᎩᎡᎸᎢ,u:giʔeʔlv̌ʔi,,,,
,ᎠᎩᎡᎰᎢ,agiʔe:hóʔi,,,,
,ᎯᎩᎢ,hi:giʔi,,,,
,ᎤᎩᎡᏗ,u:giʔe:hdi,,,,
note,"<u>ᎯᎩ</u> ᎬᏁᎸᎯ ᎾᏍᎩ ᏥᏪᏣᏲᎮᎸ …
<u>receive</u>, I pray thee, my blessing …
[ᎼᏏ ᎢᎬᏱᏱ 33:11]",,,,,
,,,,,,
ENTRY,ᎠᎩᎵᎩᎠ,akili:giʔa,vt,"He is removing, taking it down (something alive) from a raised surface or shelf.",,"King tried to squeeze in ""rsuf"" for raised surface here. It's not ""remove an animal from a pasture"". "
,ᏥᎩᎵᎩᎠ,ji:kili:giʔa,,,,
,ᎤᎩᎵᎩᏒᎢ,u:kili:gi:sv̌ʔi,,,,
,ᎠᎩᎵᎩᏍᎪᎢ,akili:gi:sgóʔi,,,,
,ᎯᎩᎵᎩ,hi:kili:gi,,,,
,ᎤᎩᎵᎩᏍᏗ,u:kili:gi:sdi,,,,
,,,,,,
ENTRY,ᎠᎩᎵᏲᎦ,agi:hlíyo:ga,vi,He is suffering.,,
,ᏥᎩᎵᏲᎦ,jigiʔlíyo:ga,,,,
,ᎤᎩᎵᏲᏨᎢ,u:gi:hlíyo:jv̌ʔi,,,,
,ᎠᎩᎵᏲᎪᎢ,agi:hlíyo:góʔi,,,,
,ᎯᎩᎵᏲᎩ,higi:hlíyo:gi,,,,
,ᎤᎩᎵᏲᎢᏍᏗ,u:gi:hlíyoʔisdi,,,,
note,"ᎾᏍᎩ ᎾᏍᏉ ᏅᏗᎦᎵᏍᏙᏗᎭ ᎯᎠ ᎾᏍᎩ ᏧᏓᎴᏅᏛ <u>ᏥᎩᎵᏲᎦ</u>; ᎠᏎᏃ ᎥᏝ ᏱᎦᏕᎣᏍᎦ; …
for which cause also these things <u>I suffer</u>, but I am not ashamed, …
[ᏔᎵᏁ ᏗᎹᏗ 1:12]",,,,,
,,,,,,
ENTRY,ᎠᎩᎸᎥᏍᎦ,akilvʔv:sga,vt,"He is perching on it.;
He is getting onto it.;
He is mounting it.",x,
