entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
à:ye:hlo:ha||tsì:ɂye:hlo:ha|ù:ye:hloɂlv̌:ɂi|à:ye:hlo:hó:ɂi|hì:ye:hlaga|ù:ye:hlsdi|ᎠᏰᎶᎭ||ᏥᏰᎶᎭ|ᎤᏰᎶᎸᎢ|ᎠᏰᎶᎰᎢ|ᎯᏰᎳᎦ|ᎤᏰᎶᏍᏗ|He is cutting it with a knife|100249|rrd
aye:lv̋:ɂi|||||||ᎠᏰᎸᎢ|||||||his body|72705|ced
a:hye:lv́:ɂi|||||||ᎠᏰᎸᎢ|||||||His body|100250|rrd
áhyesadv:ɂi|de:tsíhyesadv:ɂi||||||ᎠᏰᏌᏛᎢ|ᏕᏥᏰᏌᏛᎢ||||||Finger|100251|rrd
àyhdiha||ji:yv̀:díha|ùyhtanv́:ɂi|àyhdǐ:sgóɂi|hi:yv̀:da|uyhdóhdi|ᎠᏰᏗᎭ||ᏥᏴᏗᎭ|ᎤᏴᏔᏅᎢ|ᎠᏴᏗᏍᎪᎢ|ᎯᏴᏓ|ᎤᏴᏙᏗ|he's putting him inside, (somewhere large enough to move around)|72706|ced
aye̋:hli|||||||ᎠᏰᏟ|||||||1. center, middle., 2. half., 3. half dollar|72703|ced
à:hyě:hlóha||jì:yě:hlóha|ù:hyě:hlálv̌:ɂi|à:hyě:hlóhó:ɂi|hì:ye:laga, hihye:laga|u:hyě:lsdi|ᎠᏰᏠᎭ||ᏥᏰᏠᎭ|ᎤᏰᏝᎸᎢ|ᎠᏰᏠᎰᎢ|ᎯᏰᎳᎦ, ᎯᏰᎳᎦ|ᎤᏰᎵᏍᏗ|1. he's making an incision 2. he's operating on him|72407|ced
ahyi||tsiyɂi|u:hyesv̌:ɂi|ahyi:só:ɂi|hihyu:ɂga|u:hyv:sdi|ᎠᏱ||ᏥᏱ|ᎤᏰᏒᎢ|ᎠᏱᏐᎢ|ᎯᏳᎦ|ᎤᏴᏍᏗ|He is carrying it (a solid)|100252|rrd
ayíɂa||tsiyíɂa|u:yi:v̌:ɂi|ayí:sgó:ɂi|hiya|u:yhdi|ᎠᏱᎠ||ᏥᏱᎠ|ᎤᏱᎥᎢ|ᎠᏱᏍᎪᎢ|ᎯᏯ|ᎤᏱᏗ|He is fetching it (something long).; He is picking it (something long) up from the ground|100253|rrd
à:yíha||jiyí:ɂa|ù:yv:hv̌:ɂi|à:yǐ:sgóɂi|hiya|uyhdi|ᎠᏱᎭ||ᏥᏱᎠ|ᎤᏴᎲᎢ|ᎠᏱᏍᎪᎢ|ᎯᏯ|ᎤᏱᏗ|1. he's getting a long object., 2. he's picking up a long object|72708|ced
à:yóɂi:sdíha||jiyóɂi:sdíha|ù:yóɂi:stanv́:ɂi|à:yóɂi:sdǐ:sgóɂi|hiyoɂi:sda|u:yoɂi:sdóhdi|ᎠᏲᎢᏍᏗᎭ||ᏥᏲᎢᏍᏗᎭ|ᎤᏲᎢᏍᏔᏅᎢ|ᎠᏲᎢᏍᏗᏍᎪᎢ|ᎯᏲᎢᏍᏓ|ᎤᏲᎢᏍᏙᏗ|he's breaking it up|72717|ced
