entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
à:gî:sdoɂa||jigǐ:sdoɂa|ù:gî:sdoɂv̌:ɂi|à:gî:sdò:sgó:ɂi|higì:sdǒ:ja|u:gì:sdò:sdi|ᎠᎩᏍᏙᎠ||ᏥᎩᏍᏙᎠ|ᎤᎩᏍᏙᎥᎢ|ᎠᎩᏍᏙᏍᎪᎢ|ᎯᎩᏍᏙᏣ|ᎤᎩᏍᏙᏍᏗ|he's chewing it|72319|ced
agi:sdó:ɂa||tsigiɂsdó:ɂa|u:gi:sdó:ɂv̌:ɂi|agi:sdó:sgó:ɂi|higi:sdó:tsa|u:gi:sdó:sdi|ᎠᎩᏍᏙᎠ||ᏥᎩᏍᏙᎠ|ᎤᎩᏍᏙᎥᎢ|ᎠᎩᏍᏙᏍᎪᎢ|ᎯᎩᏍᏙᏣ|ᎤᎩᏍᏙᏍᏗ|He is chewing it|99763|rrd
agǐ:si|ani:gǐ:si||||||ᎠᎩᏏ|ᎠᏂᎩᏏ||||||female animal|72320|ced
agi:si||tsigi:si|u:gi:sesv̌:ɂi|agi:segó:ɂi|higi:súga|u:gi:svsdi|ᎠᎩᏏ||ᏥᎩᏏ|ᎤᎩᏎᏒᎢ|ᎠᎩᏎᎪᎢ|ᎯᎩᏑᎦ|ᎤᎩᏒᏍᏗ|He is fetching it (a solid)|99764|rrd
agi:hli̋:yi|||||||ᎠᎩᏟᏱ|||||||agony, pain|72315|ced
à:gi:hlǐ:yô:ga||jigì:lǐ:yô:ga|ù:gi:hlǐ:yô:jv̌:ɂi|à:gi:hlǐ:yô:gó:ɂi|higi:hli:yò:gi|u:gi:hlǐ:yó:sdi|ᎠᎩᏟᏲᎦ||ᏥᎩᎵᏲᎦ|ᎤᎩᏟᏲᏨᎢ|ᎠᎩᏟᏲᎪᎢ|ᎯᎩᏟᏲᎩ|ᎤᎩᏟᏲᏍᏗ|he's in agony, pain|72316|ced
akihlósv̀:sdi̋:ɂi|di:kihlósv̀:sdi̋:ɂi||||||ᎠᎩᏠᏒᏍᏗᎢ|ᏗᎩᏠᏒᏍᏗᎢ||||||steps, stairs|72450|ced
akiyu:sge|di:kiyu:sge||||||ᎠᎩᏳᏍᎨ|ᏗᎩᏳᏍᎨ||||||elbow|72454|ced
akiyu:sge̋:ni|di:kiyu:sge̋:ni||||||ᎠᎩᏳᏍᎨᏂ|ᏗᎩᏳᏍᎨᏂ||||||his elbow|72455|ced
à:góhvsga||gágohv́sga|ù:gohnv̌:ɂi|à:góhvsgó:ɂi|hagohna|u:góhv́sdi|ᎠᎪᎲᏍᎦ||ᎦᎪᎲᏍᎦ|ᎤᎪᏅᎢ|ᎠᎪᎲᏍᎪᎢ|ᎭᎪᎿ|ᎤᎪᎲᏍᏗ|he, it's burning|72322|ced
ago:hv̌:hsga|||u:goɂhnv̌:ɂi|ago:hv̌:hsgó:ɂi|wagoɂhna|u:go:hv̌:hsdi|ᎠᎪᎲᏍᎦ|||ᎤᎪᏅᎢ|ᎠᎪᎲᏍᎪᎢ|ᏩᎪᎾ|ᎤᎪᎲᏍᏗ|It is burning up|99766|rrd
agohv:sga|||u:go:hnv̌:ɂi|agohv:sgó:ɂi|wagohv:ga|u:gohv:sdi|ᎠᎪᎲᏍᎦ|||ᎤᎪᏅᎢ|ᎠᎪᎲᏍᎪᎢ|ᏩᎪᎲᎦ|ᎤᎪᎲᏍᏗ|It is burning|99765|rrd
à:góhvsdíha||ji:yágohvsdíha, gágohvsdíha|ù:góhvstánv́:ɂi|à:góhvsdǐ:sgói|hi:yagohvsda, hagohvsda|u:gohv́sdohdi|ᎠᎪᎲᏍᏗᎭ||ᏥᏯᎪᎲᏍᏗᎭ, ᎦᎪᎲᏍᏗᎭ|ᎤᎪᎲᏍᏔᏅᎢ|ᎠᎪᎲᏍᏗᏍᎪᎢ|ᎯᏯᎪᎲᏍᏓ, ᎭᎪᎲᏍᏓ|ᎤᎪᎲᏍᏙᏗ|he's burning him, it|72321|ced
a:go:hvsdiha||ga:goɂvsdiha|u:go:hvsdaɂnv̌:ɂi|a:go:hvsdisgó:ɂi|ha:go:hvsda|u:go:hvsdu:hdi|ᎠᎪᎲᏍᏗᎭ||ᎦᎪᎥᏍᏗᎭ|ᎤᎪᎲᏍᏓᏅᎢ|ᎠᎪᎲᏍᏗᏍᎪᎢ|ᎭᎪᎲᏍᏓ|ᎤᎪᎲᏍᏚᏗ|He is burning it|99767|rrd
ago:la|ani:go:la||||||ᎠᎪᎳ|ᎠᏂᎪᎳ||||||perch|72323|ced
à:go:lǐ:yéɂa||ji:go:lǐ:yéɂa, jigo:lǐ:yéɂa|ù:go:lǐ:yéɂv̌:ɂi|à:go:lǐ:yê:sgó:ɂi|hi:go:lǐ:ya, higo:lǐ:ya|u:go:lǐ:yê:di|ᎠᎪᎵᏰᎠ||ᏥᎪᎵᏰᎠ, ᏥᎪᎵᏰᎠ|ᎤᎪᎵᏰᎥᎢ|ᎠᎪᎵᏰᏍᎪᎢ|ᎯᎪᎵᏯ, ᎯᎪᎵᏯ|ᎤᎪᎵᏰᏗ|1. he's reading, 2. he's examining him, it|72324|ced
ago:lí:yeɂa||tsigo:lí:yeɂa|u:go:lí:yeɂv̌:ɂi|ago:lí:yesgó:ɂi|higo:lí:ya|u:go:lí:ye:di|ᎠᎪᎵᏰᎠ||ᏥᎪᎵᏰᎠ|ᎤᎪᎵᏰᎥᎢ|ᎠᎪᎵᏰᏍᎪᎢ|ᎯᎪᎵᏯ|ᎤᎪᎵᏰᏗ|He is reading it.; He is studying.; He is examining it|99768|rrd
agóhlvɂa||tsigoɂlvɂa|u:góhlvsv̌:ɂi|agóhlvsgó:ɂi|higóhlvna|u:góhlvsdi|ᎠᎪᎸᎠ||ᏥᎪᎸᎠ|ᎤᎪᎸᏒᎢ|ᎠᎪᎸᏍᎪᎢ|ᎯᎪᎸᎾ|ᎤᎪᎸᏍᏗ|He is turning it around|99770|rrd
a:go:ɂlv:ɂa||ga:go:ɂlv:ɂa|u:go:ɂlv:sv̌:ɂi|a:go:ɂlv:sgó:ɂi|ha:go:ɂlv:na|u:go:ɂlv:sdi|ᎠᎪᎸᎠ||ᎦᎪᎸᎠ|ᎤᎪᎸᏒᎢ|ᎠᎪᎸᏍᎪᎢ|ᎭᎪᎸᎾ|ᎤᎪᎸᏍᏗ|He is going then turning and coming back|99769|rrd
ago:na|||||||ᎠᎪᎾ|||||||famine|72325|ced
ago:na|||||||ᎠᎪᎾ|||||||Starvation|99771|rrd
á:go:níha||gá:go:níha|ú:go:nv:hv̌:ɂi|á:go:nǐ:sgó:ɂi|hà:gǒ:na|ù:gǒnhdi|ᎠᎪᏂᎭ||ᎦᎪᏂᎭ|ᎤᎪᏅᎲᎢ|ᎠᎪᏂᏍᎪᎢ|ᎭᎪᎾ|ᎤᎪᏅᏗ|he's target practicing|72326|ced
a:kosgi:sdiha||tsi:ya:kosgi:sdiha|u:kosgi:sdaɂnv̌:ɂi|a:kosgi:sdisgó:ɂi|hiya:kosgi:sda|u:koskdi|ᎠᎪᏍᎩᏍᏗᎭ||ᏥᏯᎪᏍᎩᏍᏗᎭ|ᎤᎪᏍᎩᏍᏓᏅᎢ|ᎠᎪᏍᎩᏍᏗᏍᎪᎢ|ᎯᏯᎪᏍᎩᏍᏓ|ᎤᎪᏍᎩᏗ|He is elbowing it|99772|rrd
agó:sdagî:sdi|||||||ᎠᎪᏍᏓᎩᏍᏗ|||||||lettuce|72327|ced
ago:sdakisdi|||||||ᎠᎪᏍᏓᎩᏍᏗ|||||||Lettuce.; biol. <em>Lactuca sativa.</em>|99773|rrd
agő:sdi|ani:gő:sdi||||||ᎠᎪᏍᏗ|ᎠᏂᎪᏍᏗ||||||raw|72328|ced
ago:sdi|||||||ᎠᎪᏍᏗ|||||||Raw.; Unripe|99774|rrd
ago:sdugi:sdi|||||||ᎠᎪᏍᏚᎩᏍᏗ|||||||Branch lettuce.; biol. <em>Saxifraga micranthidifolia.</em>|99775|rrd
à:kǒ:déɂa||jì:kǒ:déɂa|ù:kǒ:dê:sv̌:ɂi|à:kǒ:dê:sgó:ɂi|hiko:dagi|u:kǒ:dê:sdi|ᎠᎪᏕᎠ||ᏥᎪᏕᎠ|ᎤᎪᏕᏒᎢ|ᎠᎪᏕᏍᎪᎢ|ᎯᎪᏓᎩ|ᎤᎪᏕᏍᏗ|he's shoveling it|72456|ced
agodehi|||||||ᎠᎪᏕᎯ|||||||Marsh hawk.; Hen Harrier.; biol. <em>Circus hudsonius.</em>|99776|rrd
akǒ:de̋:sdi|di:kǒ:de̋:sdi||||||ᎠᎪᏕᏍᏗ|ᏗᎪᏕᏍᏗ||||||shovel, spade|72457|ced
akodv:ɂv:sga||tsikodv:ɂvɂsga|u:kodvu:nv̌:ɂi|akodv:ɂv:sgó:ɂi|hikodv:ɂv:ga|u:kodv:ɂdi|ᎠᎪᏛᎥᏍᎦ||ᏥᎪᏛᎥᏍᎦ|ᎤᎪᏛᎤᏅᎢ|ᎠᎪᏛᎥᏍᎪᎢ|ᎯᎪᏛᎥᎦ|ᎤᎪᏛᏗ|He is sprinkling.; He is sifting flour|99777|rrd
à:gowhtíha||ji:gòwhtíha, jigòwhtiha|ù:go:hv̌:ɂi|à:gowhtǐ:sgóɂi|hi:gò:wahta, higo:hwahta|u:gowhtv́hdi|ᎠᎪᏩᏘᎭ||ᏥᎪᏩᏘᎭ, ᏥᎪᏩᏘᎭ|ᎤᎪᎲᎢ|ᎠᎪᏩᏘᏍᎪᎢ|ᎯᎪᏩᏔ, ᎯᎪᏩᏔ|ᎤᎪᏩᏛᏗ|he sees him, it|72329|ced
agówhtiha||tsigowhtiha|u:góhv̌:ɂi|agówhtisgó:ɂi|higówhta|u:gówhtv:hdi|ᎠᎪᏩᏘᎭ||ᏥᎪᏩᏘᎭ|ᎤᎪᎲᎢ|ᎠᎪᏩᏘᏍᎪᎢ|ᎯᎪᏩᏔ|ᎤᎪᏩᏛᏗ|He is seeing it|99778|rrd
agǒwhtvhdi|||||||ᎠᎪᏩᏛᏗ|||||||sight|72330|ced
à:gowhtvhdíha||ji:gòwhtvhdíha|ù:gowhtvhtanv́:ɂi|à:gowhtvhdǐ:sgóɂi|hi:gòwhtvhda|u:gowhtvhdóhdi|ᎠᎪᏩᏛᏗᎭ||ᏥᎪᏩᏛᏗᎭ|ᎤᎪᏩᏛᏔᏅᎢ|ᎠᎪᏩᏛᏗᏍᎪᎢ|ᎯᎪᏩᏛᏓ|ᎤᎪᏩᏛᏙᏗ|he's showing it to him|72331|ced
a:gowv|||||||ᎠᎪᏮ|||||||Sand piper|99779|rrd
à:kǔ:gíɂa||jigǔ:gíɂa|ù:kǔ:gî:sv̌:ɂi|à:kǔ:gî:sgó:ɂi|hikǔ:gi|u:kǔ:gî:sdi|ᎠᎫᎩᎠ||ᏥᎫᎩᎠ|ᎤᎫᎩᏒᎢ|ᎠᎫᎩᏍᎪᎢ|ᎯᎫᎩ|ᎤᎫᎩᏍᏗ|he's dipping liquid|72481|ced
aku:giɂa||tsigu:giɂa|u:ku:gisv̌:ɂi|aku:gisgó:ɂi|hiku:gi|u:ku:gisdi|ᎠᎫᎩᎠ||ᏥᎫᎩᎠ|ᎤᎫᎩᏒᎢ|ᎠᎫᎩᏍᎪᎢ|ᎯᎫᎩ|ᎤᎫᎩᏍᏗ|He is dipping a liquid.; He is taking liquid from liquid.; He is removing liquid from a container|99780|rrd
akǔ:gi̋:sdi|di:kǔ:gi̋:sdi||||||ᎠᎫᎩᏍᏗ|ᏗᎫᎩᏍᏗ||||||dipper|72482|ced
Agǔ:sa|Ani:gǔ:sa||||||ᎠᎫᏌ|ᎠᏂᎫᏌ||||||Creek (Indian)|72332|ced
akusge:ni|ditsikusge:ni||||||ᎠᎫᏍᎨᏂ|ᏗᏥᎫᏍᎨᏂ||||||His elbow|99781|rrd
aku:sgiɂa||tsiku:sgiɂa|u:ku:sgitanv̌:ɂi|aku:sgisgó:ɂi|hiku:sgsda|u:ku:sgo:di|ᎠᎫᏍᎩᎠ||ᏥᎫᏍᎩᎠ|ᎤᎫᏍᎩᏔᏅᎢ|ᎠᎫᏍᎩᏍᎪᎢ|ᎯᎫᏍᎩᏍᏓ|ᎤᎫᏍᎪᏗ|He is nudging it with his elbow|99782|rrd
akv́:ɂa||tsi:ɂkv́:ɂa|u:kv́:ɂv̌:ɂi|akv́:sgó:ɂi|hi:kv́:na|u:kv́:sdi|ᎠᎬᎠ||ᏥᎬᎠ|ᎤᎬᎥᎢ|ᎠᎬᏍᎪᎢ|ᎯᎬᎾ|ᎤᎬᏍᏗ|He is moving it (something alive).; He is moving it (a solid)|99783|rrd
agv:ga||tsigv:ga|u:gv:ɂtsv̌:ɂi|agv:gó:ɂi|higv:ɂgi|u:gv:ɂi:sdi|ᎠᎬᎦ||ᏥᎬᎦ|ᎤᎬᏨᎢ|ᎠᎬᎪᎢ|ᎯᎬᎩ|ᎤᎬᎢᏍᏗ|He is drowning|99784|rrd
agvhale:wida|||||||ᎠᎬᎭᎴᏫᏓ|||||||Quilt top|99785|rrd
à:gv:halíha||jigv:ɂalíha|ù:gv:halv:hv̌:ɂi|à:gv:halǐ:sgóɂi|higv:hala|u:gv:hahldi|ᎠᎬᎭᎵᎭ||ᏥᎬᎠᎵᎭ|ᎤᎬᎭᎸᎲᎢ|ᎠᎬᎭᎵᏍᎪᎢ|ᎯᎬᎭᎳ|ᎤᎬᎭᏟᏗ|1. he's cutting it, 2. he's slicing it|72334|ced
agv́haliha||tsigvɂaliha|u:gv́halvhv̌:ɂi|agv́halisgó:ɂi|higv́hala|u:gv́ha:hldi|ᎠᎬᎭᎵᎭ||ᏥᎬᎠᎵᎭ|ᎤᎬᎭᎸᎲᎢ|ᎠᎬᎭᎵᏍᎪᎢ|ᎯᎬᎭᎳ|ᎤᎬᎭᎳᏗ|He is cutting it (a solid) off|99786|rrd
à:gv:hálûysga||jigvɂalûysga|ù:gv:halû:hyv̌:ɂi|à:gv:halûysgó:ɂi|higv:halù:hya|u:gv:halùysdi|ᎠᎬᎭᎷᏯᏍᎦ||ᏥᎬᎠᎷᏯᏍᎦ|ᎤᎬᎭᎷᏴᎢ|ᎠᎬᎭᎷᏯᏍᎪᎢ|ᎯᎬᎭᎷᏯ|ᎤᎬᎭᎷᏯᏍᏗ|he's chopping it up|72335|ced
agv:halv̋:da|di:gv:halv̋:da||||||ᎠᎬᎭᎸᏓ|ᏗᎬᎭᎸᏓ||||||a piece of something that's been cut|72336|ced
akvhida|||||||ᎠᎬᎯᏓ|||||||Sheet.; Linen|99787|rrd
agv̌:hnáge̋:ɂi|ani:gv̌:hnáge̋:ɂi||||||ᎠᎬᎿᎨᎢ|ᎠᏂᎬᎿᎨᎢ||||||Black person, Negro|72337|ced
akvno:ge:ni|||||||ᎠᎬᏃᎨᏂ|||||||His wing|99788|rrd
à:gv:sgǒ:lv̂:sga||ji:gv̀:sgǒ:lv̂:sga|ù:gv:sgǒ:lv̂:nv̌:ɂi|à:gv:sgǒ:lv̂:sgó:ɂi|hi:gv̀:sgo:lvɂv̀:ga|u:gv:sgǒ:lv̂:di|ᎠᎬᏍᎪᎸᏍᎦ||ᏥᎬᏍᎪᎸᏍᎦ|ᎤᎬᏍᎪᎸᏅᎢ|ᎠᎬᏍᎪᎸᏍᎪᎢ|ᎯᎬᏍᎪᎸᎥᎦ|ᎤᎬᏍᎪᎸᏗ|he's scolding him|72338|ced
à:gv:sgwó:ɂa||gagv̀:sgwó:ɂa|ù:gv:sgwó:ɂv̌:ɂi|à:gv:sgwó:sgó:ɂi|hagv:sgwǒ:ja|u:gv:sgwò:sdi|ᎠᎬᏍᏉᎠ||ᎦᎬᏍᏉᎠ|ᎤᎬᏍᏉᎥᎢ|ᎠᎬᏍᏉᏍᎪᎢ|ᎭᎬᏍᏉᏣ|ᎤᎬᏍᏉᏍᏗ|he's washing his face|72339|ced
a:gv:sgwo:ɂa||ga:gvɂsgwo:ɂa|u:gv:sgwo:ɂv̌:ɂi|a:gv:sgwo:sgó:ɂi|ha:gv:sgwo:tsa|u:gv:sgwo:sdi|ᎠᎬᏍᏉᎠ||ᎦᎬᏍᏉᎠ|ᎤᎬᏍᏉᎥᎢ|ᎠᎬᏍᏉᏍᎪᎢ|ᎭᎬᏍᏉᏣ|ᎤᎬᏍᏉᏍᏗ|He is washing his face|99789|rrd
agv:dage̋:ni|||||||ᎠᎬᏓᎨᏂ|||||||his forehead|72333|ced
agv:dige:ni|||||||ᎠᎬᏗᎨᏂ|||||||His forehead|99790|rrd
agv:duɂlo|||||||ᎠᎬᏚᎶ|||||||Mask|99791|rrd
agv:hwaldi||à:gigv:waɂldi|u:gv:hwalde:sdv̌:ɂi|agv:hwaldó:ɂi|higv:hwalda|u:gv:hwaldo:hdi|ᎠᎬᏩᎶᏗ||ᎠᎩᎬᏩᎶᏗ|ᎤᎬᏩᎶᏕᏍᏛᎢ|ᎠᎬᏩᎶᏙᎢ|ᎯᎬᏩᎶᏓ|ᎤᎬᏩᎶᏙᏗ|It is worth|99792|rrd
agvɂyhsga||tsi:gvɂyɂsga|u:gvɂyhv̌:ɂi|agvɂyhsgó:ɂi|hi:gvɂya|u:gvɂyhsdi|ᎠᎬᏯᏍᎦ||ᏥᎬᏯᏍᎦ|ᎤᎬᏯᎲᎢ|ᎠᎬᏯᏍᎪᎢ|ᎯᎬᏯ|ᎤᎬᏯᏍᏗ|He is drowning him|99793|rrd
agv:yi|||||||ᎠᎬᏱ|||||||First.; Initially|99794|rrd
agv:yidi:tsa|||||||ᎠᎬᏱᏗᏣ|||||||Before.; In the way|99795|rrd
akvyv:ligeɂi|||||||ᎠᎬᏴᎵᎨᎢ|||||||Old (something alive)|99796|rrd
ahake:tsvhi|||||||ᎠᎭᎨᏨᎯ|||||||A peeling|99797|rrd
ahala̋:da|di:ni:hala̋:da||||||ᎠᎭᎳᏓ|ᏗᏂᎭᎳᏓ||||||loudmouth|72341|ced
à:halǔ:gíɂha||jiɂalǔ:gíɂa|ù:halǔ:gîsv̌:ɂi|à:halǔ:gî:sgó:ɂi|hiɂalǔ:gi|u:halǔ:gî:sdi|ᎠᎭᎷᎩᎭ||ᏥᎠᎷᎩᎠ|ᎤᎭᎷᎩᏒᎢ|ᎠᎭᎷᎩᏍᎪᎢ|ᎯᎠᎷᎩ|ᎤᎭᎷᎩᏍᏗ|1.  he's diverting him, it, 2. he's flagging him, it down|72342|ced
áhani, áhni|||||||ᎠᎭᏂ, ᎠᏂ|||||||here|72343|ced
a:hata:sga||tsiɂata:sga|u:hatanv̌:ɂi|a:hata:sgó:ɂi|hihata:ga|u:hati|ᎠᎭᏔᏍᎦ||ᏥᎠᏔᏍᎦ|ᎤᎭᏔᏅᎢ|ᎠᎭᏔᏍᎪᎢ|ᎯᎭᏔᎦ|ᎤᎭᏘ|He is hammering it in.; He is driving it in|99798|rrd
ahawi, ahwi|||||||ᎠᎭᏫ, ᎠᏫ|||||||deer|72344|ced
ahawi:ya|||||||ᎠᎭᏫᏯ|||||||Venison|99799|rrd
à:hawó:sdiha||jiɂawó:sdiha|ù:hawó:stanv̌:ɂi|à:hawó:sdi:sgó:ɂi|hiɂawò:sda|u:hawò:sdohdi|ᎠᎭᏬᏍᏗᎭ||ᏥᎠᏬᏍᏗᎭ|ᎤᎭᏬᏍᏔᏅᎢ|ᎠᎭᏬᏍᏗᏍᎪᎢ|ᎯᎠᏬᏍᏓ|ᎤᎭᏬᏍᏙᏗ|he's smothering him, it|72345|ced
à:híha||jiɂíha|ù:hlv̌:ɂi|à:hihó:ɂi|hi:lù:ga|u:hisdi|ᎠᎯᎭ||ᏥᎢᎭ|ᎤᏢᎢ|ᎠᎯᎰᎢ|ᎯᎷᎦ|ᎤᎯᏍᏗ|he's killing him, it|72348|ced
a:hiha||tsi:ɂiha|u:hɂlv̌:ɂi|a:hihó:ɂi|hi:lu:ga|u:hisdi|ᎠᎯᎭ||ᏥᎢᎭ|ᎤᎸᎢ|ᎠᎯᎰᎢ|ᎯᎷᎦ|ᎤᎯᏍᏗ|He is killing him|99800|rrd
à:híɂle:ha||jiɂíle:ha||à:híɂlè:hó:ɂi||u:hiɂlv̀:sdi|ᎠᎯᎴᎭ||ᏥᎢᎴᎭ||ᎠᎯᎴᎰᎢ||ᎤᎯᎸᏍᏗ|he has possession of a vehicle|72349|ced
à:híɂli||jiɂíli|ù:híɂlv́:sv̌:ɂi|à:híɂlí:só:ɂi||u:hiɂlv̀:sdi|ᎠᎯᎵ||ᏥᎢᎵ|ᎤᎯᎸᏒᎢ|ᎠᎯᎵᏐᎢ||ᎤᎯᎸᏍᏗ|he's driving it (vehicle in motion or animal)|72350|ced
a:hi:hliyo:ga||tsiɂi:hliyo:ga|u:hi:hliyo:tsv̌:ɂi|a:hi:hliyo:gó:ɂi|hihi:hliyo:ɂga|u:hi:hliyo:ɂisdi|ᎠᎯᎵᏲᎦ||ᏥᎢᎵᏲᎦ|ᎤᎯᎵᏲᏨᎢ|ᎠᎯᎵᏲᎪᎢ|ᎯᎯᎵᏲᎦ|ᎤᎯᎵᏲᎢᏍᏗ|He is in agony, suffering|99801|rrd
ahiɂlv̀:sdi̋:ɂi|di:hiɂlv̀:sdi̋:ɂi||||||ᎠᎯᎸᏍᏗᎢ|ᏗᎯᎸᏍᏗᎢ||||||steering wheel|72351|ced
ahi̋:da|di:hi̋:da||||||ᎠᎯᏓ|ᏗᎯᏓ||||||easy|72346|ced
à:hǐ:dô:ha||jiɂǐ:dô:ha|ù:hǐ:dô:lv̌:ɂi|à:hǐ:dô:hó:ɂi|hihǐ:da|u:hǐ:dâ:sdi|ᎠᎯᏙᎭ||ᏥᎢᏙᎭ|ᎤᎯᏙᎸᎢ|ᎠᎯᏙᎰᎢ|ᎯᎯᏓ|ᎤᎯᏓᏍᏗ|he's handling it, he has it in his hand|72347|ced
à:hi:yáɂa||jiɂi:yáɂa|ù:hí:yv̌:ɂi|à:hi:yâ:sgó:ɂi|hihǐ:ya|u:hí̋:yâ:sdi|ᎠᎯᏯᎠ||ᏥᎢᏯᎠ|ᎤᎯᏴᎢ|ᎠᎯᏯᏍᎪᎢ|ᎯᎯᏯ|ᎤᎯᏯᏍᏗ|he's leaving it behind|72353|ced
a:hi:yiɂa||tsiɂi:yiɂa|u:hi:yi:v̌:ɂi|a:hi:yisgó:ɂi|hihi:ya|u:hi:yisdi|ᎠᎯᏱᎠ||ᏥᎢᏱᎠ|ᎤᎯᏱᎥᎢ|ᎠᎯᏱᏍᎪᎢ|ᎯᎯᏯ|ᎤᎯᏱᏍᏗ|He is leaving it (a solid) or it (a liquid)|99802|rrd
ahő:li|||||||ᎠᎰᎵ|||||||his mouth|72387|ced
aho:li|||||||ᎠᎰᎵ|||||||His mouth|99803|rrd
a:hu:lagega||tsiɂu:lagega|u:hu:lage:tsv̌:ɂi|a:hu:lagegó:ɂi|hihu:lageɂi|u:hu:lage:sdi|ᎠᎱᎳᎨᎦ||ᏥᎤᎳᎨᎦ|ᎤᎱᎳᎨᏨᎢ|ᎠᎱᎳᎨᎪᎢ|ᎯᎱᎳᎨᎢ|ᎤᎱᎳᎨᏍᏗ|He is homesick|99804|rrd
a:hule:yv:sga||tsiɂule:yv:sga|u:hule:yv:sv̌:ɂi|a:hule:yv:sgó:ɂi|hihule:yv:hi|u:hule:yv:hisdi|ᎠᎱᎴᏴᏍᎦ||ᏥᎤᎴᏴᏍᎦ|ᎤᎱᎴᏴᏒᎢ|ᎠᎱᎴᏴᏍᎪᎢ|ᎯᎱᎴᏴᎯ|ᎤᎱᎴᏴᎯᏍᏗ|He is burning himself with hot food|99805|rrd
ahu:li|di:hu:li||||||ᎠᎱᎵ|ᏗᎱᎵ||||||drum|72391|ced
ahuɂli|||||||ᎠᎱᎵ|||||||Drum|99806|rrd
à:hu:lv́:niha||jiɂu:lv́:niha|ù:hu:lv̌:nî:lv̌:ɂi|à:hu:lv́:nihó:ɂi|hiɂu:lv:nì:ga|u:hu:lv̌:nî:sdi|ᎠᎱᎸᏂᎭ||ᏥᎤᎸᏂᎭ|ᎤᎱᎸᏂᎸᎢ|ᎠᎱᎸᏂᎰᎢ|ᎯᎤᎸᏂᎦ|ᎤᎱᎸᏂᏍᏗ|he's hitting him on the mouth|72392|ced
à:hu:díɂa||jiɂu:díɂa|ù:hú:dv̌:ɂi|à:hu:dî:sgó:ɂi|hihǔ:da|u:hǔ:dî:sdi|ᎠᎱᏗᎠ||ᏥᎤᏗᎠ|ᎤᎱᏛᎢ|ᎠᎱᏗᏍᎪᎢ|ᎯᎱᏓ|ᎤᎱᏗᏍᏗ|he's putting a long object in liquid|72388|ced
a:hu:diɂa||tsiɂu:diɂa|u:hu:dɂv̌:ɂi|a:hu:disgó:ɂi|hihu:da|u:hu:disdi|ᎠᎱᏗᎠ||ᏥᎤᏗᎠ|ᎤᎱᏛᎢ|ᎠᎱᏗᏍᎪᎢ|ᎯᎱᏓ|ᎤᎱᏗᏍᏗ|He is putting it (something long) into a liquid|99807|rrd
à:hú:jawǒ:ládv̋:i|dà:hú:jawǒ:ládv̋:ɂi||||||ᎠᎱᏣᏬᎳᏛᎢ|ᏓᎱᏣᏬᎳᏛᎢ||||||chimney|72390|ced
ahu:tsawo:ladv:ɂi|||||||ᎠᎱᏣᏬᎳᏛᎢ|||||||Chimney|99808|rrd
ahù:jawǒ:ládv̋:di|di:hù:jawǒ:ládv̋:di||||||ᎠᎱᏣᏬᎳᏛᏗ|ᏗᎱᏣᏬᎳᏛᏗ||||||stove pipe, lamp chimney|72389|ced
a:hu:yísiha||tsiɂu:yísiha|u:hu:yísvhv̌:ɂi|a:hu:yísisgó:ɂi|hihu:yiusa|u:hu:yísv:hdi|ᎠᎱᏱᏏᎭ||ᏥᎤᏱᏏᎭ|ᎤᎱᏱᏒᎲᎢ|ᎠᎱᏱᏏᏍᎪᎢ|ᎯᎱᏱᎤᏌ|ᎤᎱᏱᏒᏗ|He is taking it (something long) from a liquid|99809|rrd
à:hv́:ɂa||jiɂv́:ɂa|ù:hv́:sv̌:ɂi|à:hv́:sgó:ɂi|hihv̌:na|u:hv̀:sdi|ᎠᎲᎠ||ᏥᎥᎠ|ᎤᎲᏒᎢ|ᎠᎲᏍᎪᎢ|ᎯᎲᎾ|ᎤᎲᏍᏗ|he's moving it from one place to another|72393|ced
à:hv́sga||jiɂv́sga|ù:hnv̌:ɂi|à:hvsgó:ɂi|hihv̀:ga|u:hdi|ᎠᎲᏍᎦ||ᏥᎥᏍᎦ|ᎤᏅᎢ|ᎠᎲᏍᎪᎢ|ᎯᎲᎦ|ᎤᏗ|he's setting it down|72394|ced
a:hvsga||tsiɂvsga|u:hnv̌:ɂi|a:hvsgó:ɂi|hihvga|u:hdi|ᎠᎲᏍᎦ||ᏥᎥᏍᎦ|ᎤᏅᎢ|ᎠᎲᏍᎪᎢ|ᎯᎲᎦ|ᎤᏗ|He is setting it (a solid) down|99810|rrd
a:hv:dagíɂa||tsiɂv:dagíɂa|u:hv:dagísv̌:ɂi|a:hv:dagísgó:ɂi|hihv:dagi|u:hv:dagísdi|ᎠᎲᏓᎩᎠ||ᏥᎥᏓᎩᎠ|ᎤᎲᏓᎩᏒᎢ|ᎠᎲᏓᎩᏍᎪᎢ|ᎯᎲᏓᎩ|ᎤᎲᏓᎩᏍᏗ|He is taking it (something long) off a fire|99811|rrd
