,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᏥᎩᎵᏲᎦ,tsịgịʔlị³yoga,,,,
,ᎤᎩᎵᏲᏨᎢ,ugihlị³yotsv²³ʔi,,,,
,ᎠᎩᎵᏲᎪᎢ,ạgihlị³yogo³ʔi,,,,
,ᎯᎩᎵᏲᎩ,hịgihlị³yogi,,,,
,ᎤᎩᎵᏲᎢᏍᏗ,ugihlị³yọʔịsdi,,,,
note,"ᎾᏍᎩ ᎾᏍᏉ ᏅᏗᎦᎵᏍᏙᏗᎭ ᎯᎠ ᎾᏍᎩ ᏧᏓᎴᏅᏛ <u>ᏥᎩᎵᏲᎦ</u>; ᎠᏎᏃ ᎥᏝ ᏱᎦᏕᎣᏍᎦ; …
for which cause also these things <u>I suffer</u>, but I am not ashamed, …
[ᏔᎵᏁ ᏗᎹᏗ 1:12]",,,,,
,,,,,,
ENTRY,ᎠᎩᎸᎥᏍᎦ,ạkịlṿʔvsga,vt,"He is perching on it.;
He is getting onto it.;
He is mounting it.",x,
,ᎦᎩᎸᎥᏍᎦ,gakịlṿʔvsga,,,"Added ""perching"" from Francis",
,ᎤᎩᎸᏅᎢ,ukịlṿʔnv²³ʔi,,,Removed several ʔ,
,ᎠᎩᎸᎥᏍᎪᎢ,ạkịlṿʔvsgo³ʔi,,,,
,ᎭᎩᎸᎥᎦ,hạkịlṿʔvga,,,,
,ᎤᎩᎸᏗ,ukịlvdi,,,,
note,"ᏥᏌᏃ ᎤᏩᏛᎲ ᎠᎩᎾ ᏐᏈᎵ-ᏗᎦᎵᎠᏅᎯᏛ, <u>ᎤᎩᎸᏅᎩ</u>, ᎾᏍᎩᏯ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ;
and Jesus having found a young ass <u>did sit upon it</u>, according as it is written,
[ᏣᏂ 12:14]",,,,,
,,,,,,
ENTRY,ᎠᎩᏍᎦ,ạkịsga,vt,He is swallowing it.,,
,ᏥᎩᏍᎦ,tsịkịsga,,,,
,ᎤᎩᏒᎢ,ukịsv²³ʔi,,,,
,ᎠᎩᏍᎪᎢ,ạkịsgo³ʔi,,,,
,ᎯᎩᎯ,hịkịhi,,,,
,ᎤᎩᎯᏍᏗ,ukịhịsdi,,,,
note,"ᏗᏥᎨᏫ ᏗᏣᏓᏘᏂᏙᎯ! ᏙᏒ ᎢᏥᎿᏐᎸᏍᏗᏍᎩ ᎨᎻᎵᏃ <u>ᎢᏥᎩᏍᎩ</u>.
‘Blind guides! who are straining out the gnat, and the camel <u>are swallowing</u>.
[ᎹᏚ 23:24]",,,,,
,,,,,,
ENTRY,ᎠᎩᏍᏙᎠ,ạgisdo³ʔa,vt,He is chewing it.,x,
,ᏥᎩᏍᏙᎠ,tsịgịsdo³ʔa,,,,
,ᎤᎩᏍᏙᎥᎢ,ugisdo³ʔv²³ʔi,,,,
